municipio,K,a,b,c
Redenção,1121.365,0.186,16.5,0.780
Reriutaba,1000.315,0.165,13.5,0.745
Russas,1052.126,0.178,15.0,0.760
Saboeiro,957.513,0.155,12.0,0.730
Salitre,943.518,0.151,12.0,0.725
Santa Quitéria,982.809,0.161,13.5,0.740
Santana do Acaraú,1045.122,0.178,15.0,0.762
Santana do Cariri,1022.955,0.170,14.0,0.749
São Benedito,983.565,0.160,13.0,0.737
São Gonçalo do Amarante,1085.302,0.180,15.5,0.768
São João do Jaguaribe,1015.659,0.168,14.0,0.750
São Luís do Curu,1031.782,0.174,14.0,0.757
Senador Pompeu,1014.316,0.170,14.0,0.748
Senador Sá,1038.541,0.177,15.0,0.760
Sobral,985.401,0.158,12.5,0.735
Solonópole,1014.316,0.170,14.0,0.748
Tabuleiro do Norte,1052.126,0.178,15.0,0.760
Tamboril,982.809,0.161,13.5,0.740
Tarrafas,1028.917,0.171,14.0,0.750
Tauá,909.110,0.143,12.0,0.718
Tejuçuoca,1031.782,0.174,14.0,0.757
Tianguá,983.565,0.160,13.0,0.737
Trairi,1051.761,0.179,15.0,0.765
Tururu,1031.782,0.174,14.0,0.757
Ubajara,983.565,0.160,13.0,0.737
Umari,1007.761,0.165,13.0,0.741
Umirim,1031.782,0.174,14.0,0.757
Uruburetama,1031.782,0.174,14.0,0.757
Uruoca,1012.062,0.167,13.5,0.746
Varjota,1000.315,0.165,13.5,0.745
Várzea Alegre,1028.917,0.171,14.0,0.750
Viçosa do Ceará,983.565,0.160,13.0,0.737
